,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
578,MERCEDES-BENZ E300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,midsize car,5.0,22.0,30.0,25.0,5.0
579,MERCEDES-BENZ E300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,midsize car,5.0,21.0,29.0,24.0,5.0
580,MERCEDES-BENZ GLA 250,2.0,4,AutoMan-7,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2B,station wagon,5.0,24.0,33.0,27.0,6.0
581,MERCEDES-BENZ GLA250 4Matic,2.0,4,AutoMan-7,4WD,Ethanol,L3ULEV70,JMBXJ02.0U2A,small SUV,5.0,17.0,23.0,19.0,5.0
582,MERCEDES-BENZ GLA250 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2B,small SUV,5.0,23.0,31.0,26.0,5.0
583,MERCEDES-BENZ GLC 300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small SUV,5.0,22.0,28.0,24.0,5.0
584,MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small SUV,5.0,21.0,28.0,24.0,5.0
585,MERCEDES-BENZ GLC 300 4Matic,2.0,4,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ02.0U2C,small SUV,5.0,22.0,27.0,24.0,5.0
586,MERCEDES-BENZ GLE350,3.5,6,Auto-7,2WD,Gasoline,U2,JMBXT03.5U2A,standard SUV,3.0,18.0,23.0,20.0,4.0
587,MERCEDES-BENZ GLE350 4Matic,3.5,6,Auto-7,4WD,Ethanol,U2,JMBXT03.5U2B,standard SUV,3.0,13.0,17.0,14.0,3.0
588,MERCEDES-BENZ GLE350 4Matic,3.5,6,Auto-7,4WD,Gasoline,U2,JMBXT03.5U2A,standard SUV,3.0,18.0,22.0,19.0,3.0
589,MERCEDES-BENZ GLS450 4Matic,3.0,6,Auto-9,4WD,Gasoline,L3ULEV125,JMBXT03.0U2B,standard SUV,3.0,17.0,22.0,19.0,3.0
590,MERCEDES-BENZ GLS550 4Matic,4.7,8,Auto-9,4WD,Gasoline,L3ULEV125,JMBXT05.5U2A,standard SUV,3.0,14.0,19.0,16.0,2.0
591,MERCEDES-BENZ S560 4Matic,4.0,8,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ04.0U2A,large car,5.0,17.0,27.0,21.0,4.0
592,MERCEDES-BENZ S560 4Matic Maybach,4.0,8,Auto-9,4WD,Gasoline,L3ULEV70,JMBXJ04.0U2A,large car,5.0,16.0,25.0,19.0,3.0
593,MERCEDES-BENZ SL550,4.7,8,Auto-9,2WD,Gasoline,U2,JMBXV05.5U2A,small car,3.0,17.0,25.0,20.0,4.0
594,MERCEDES-BENZ SLC300,2.0,4,Auto-9,2WD,Gasoline,L3ULEV125,JMBXV02.0U2A,small car,3.0,25.0,32.0,27.0,6.0
595,MINI Cooper Clubman,1.5,3,Man-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,midsize car,7.0,24.0,34.0,28.0,6.0
596,MINI Cooper Clubman,1.5,3,SemiAuto-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,midsize car,7.0,24.0,32.0,27.0,6.0
597,MINI Cooper Clubman All4,1.5,3,Man-6,4WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,22.0,32.0,26.0,5.0
598,MINI Cooper Clubman All4,1.5,3,SemiAuto-8,4WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,23.0,31.0,26.0,5.0
599,MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,small car,7.0,28.0,37.0,32.0,7.0
600,MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,small car,7.0,27.0,35.0,30.0,7.0
601,MINI Cooper Countryman,1.5,3,Man-6,2WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,24.0,34.0,28.0,6.0
602,MINI Cooper Countryman,1.5,3,SemiAuto-6,2WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,24.0,32.0,27.0,6.0
603,MINI Cooper Countryman All4,1.5,3,Man-6,4WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,22.0,32.0,26.0,5.0
604,MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4WD,Gasoline,U2,JBMXV01.5M3X,midsize car,3.0,23.0,30.0,25.0,5.0
605,MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,small car,7.0,28.0,37.0,32.0,7.0
606,MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,small car,7.0,28.0,38.0,32.0,7.0
607,MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,L3SULEV30,JBMXV01.5M36,small car,7.0,27.0,35.0,30.0,7.0
608,MINI Cooper S Clubman,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JBMXV02.0M46,midsize car,7.0,22.0,31.0,25.0,5.0
609,MINI Cooper S Clubman,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXV02.0M46,midsize car,7.0,23.0,32.0,27.0,6.0
610,MINI Cooper S Clubman All4,2.0,4,Man-6,4WD,Gasoline,L3SULEV30,JBMXV02.0M46,midsize car,7.0,21.0,30.0,24.0,5.0
611,MINI Cooper S Clubman All4,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXV02.0M46,midsize car,7.0,22.0,31.0,26.0,5.0
612,MINI Cooper S Convertible,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JBMXV02.0M46,small car,7.0,23.0,32.0,26.0,5.0
613,MINI Cooper S Convertible,2.0,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JBMXV02.0M46,small car,7.0,25.0,33.0,28.0,6.0
614,MINI Cooper S Countryman,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXV02.0M46,midsize car,7.0,23.0,32.0,27.0,6.0
